Trade Date,USD+AF8-FUT,JPY+AF8-FUT,GBP+AF8-FUT,EUR+AF8-FUT
01/02/10,46.4375,51.4525,73.7125,64.5525
02/02/10,46.3075,51.0475,73.725,64.54
03/02/10,46.0325,50.8875,73.6275,64.4675
04/02/10,46.265,50.9925,73.29,64.065
05/02/10,46.78,52.2825,73.4175,64.0875
08/02/10,46.8525,52.4025,72.975,64.145
09/02/10,46.7175,52.1575,72.7725,64.0375
10/02/10,46.5375,51.9225,72.9325,64.22
11/02/10,46.5075,51.83,72.5,63.8825
15/02/10,46.3475,51.495,72.655,63.13
16/02/10,46.2225,51.3775,72.5125,63.0975
17/02/10,46.1225,50.9425,72.6925,63.3125
18/02/10,46.2575,50.91,72.1475,62.8025
19/02/10,46.325,50.44,71.2875,62.53
22/02/10,46.215,50.635,71.46,62.885
23/02/10,46.22,50.785,71.285,62.805
24/02/10,46.25,51.27,71.4724,62.63
25/02/10,46.4725,52.02,71.1,62.715
26/02/10,46.2125,51.755,70.475,62.89
02/03/10,46.1175,51.7625,68.93,62.4025
03/03/10,45.93,51.6975,69.0125,62.605
04/03/10,45.8975,51.9325,69.25,62.7775
05/03/10,45.715,51.1925,68.795,62.1575
08/03/10,45.58,50.42,69.0275,62.2325
09/03/10,45.6875,50.91,68.325,62.015
10/03/10,45.465,50.3,67.7625,61.8
11/03/10,45.665,50.4775,68.7575,62.375
12/03/10,45.49,50.345,68.94,62.665
15/03/10,45.695,50.43,68.7325,62.6925
17/03/10,45.4175,50.2175,69.6825,62.635
18/03/10,45.495,50.4375,69.5175,62.235
19/03/10,45.5375,50.3675,68.98,61.7825
22/03/10,45.605,50.37,68.42,61.6925
23/03/10,45.6225,50.5275,68.4125,61.605
25/03/10,45.535,49.4825,68.225,60.8775
26/03/10,45.285,49.0125,67.4675,60.69
29/03/10,45.08,48.68,67.4475,60.61
30/03/10,45.1875,48.8575,68.2425,60.9225
31/03/10,45.0325,48.2475,68.28,60.7075
05/04/10,44.57,47.2325,68.015,60.095
06/04/10,44.5625,47.4525,67.7125,59.79
07/04/10,44.64,47.565,67.67,59.625
08/04/10,44.5325,47.965,67.8125,59.315
09/04/10,44.38,47.395,68.24,59.49
12/04/10,44.525,47.645,68.695,60.545
13/04/10,44.53,47.845,68.7125,60.555
15/04/10,44.4625,47.77,68.58,60.23
16/04/10,44.3875,47.8425,68.635,60.0925
19/04/10,44.76,48.7025,68.1925,60.115
20/04/10,44.5425,47.9775,68.6,60.1575
21/04/10,44.555,47.915,68.5825,59.6725
22/04/10,44.59,47.9575,68.665,59.49
23/04/10,44.47,47.58,68.3425,59.1875
26/04/10,44.38,47.135,68.595,59.1175
27/04/10,44.4475,47.4375,68.2175,59.19
28/04/10,44.6,47.78,68.0797,58.9
29/04/10,44.6475,47.4725,68.085,59.1775
30/04/10,44.4575,47.095,68.235,59.2375
03/05/10,44.6125,47.395,68.085,59.0475
04/05/10,44.71,47.2725,67.96,58.72
05/05/10,45.035,47.545,68.22,58.2725
06/05/10,45.3825,48.42,68.3025,57.9575
07/05/10,45.55,49.3125,66.9375,58.2275
10/05/10,44.94,48.1275,67.48,58.4375
11/05/10,45.3525,49.1525,66.875,57.5375
12/05/10,45.2275,48.63,67.485,57.3475
13/05/10,45.14,48.72,66.7175,56.9
14/05/10,45.215,48.9025,65.825,56.43
17/05/10,45.655,49.43,65.84,56.3275
18/05/10,45.6075,49.1625,65.9125,56.64
19/05/10,46.355,50.7925,66.145,56.5825
20/05/10,46.7825,51.3625,66.92,57.735
21/05/10,46.955,52.31,67.285,58.6875
24/05/10,46.9975,52.16,67.505,58.2325
25/05/10,47.4,52.82,67.9621,58.19
26/05/10,47.475,52.575,68.4275,58.55
28/05/10,46.5425,51.05,67.7975,57.7175
31/05/10,46.5425,50.8725,67.4075,57.2825
01/06/10,47.2875,51.955,68.7275,57.5225
02/06/10,47.1075,51.23,69.1025,57.59
03/06/10,46.8025,50.52,68.595,57.3425
04/06/10,46.93,50.7725,68.56,56.945
07/06/10,47.2125,51.3525,68.44,56.5875
08/06/10,47.085,51.44,67.8975,56.24
09/06/10,47.125,51.5025,68.26,56.445
10/06/10,47.045,51.5725,68.7875,56.7075
11/06/10,46.93,51.2175,68.7075,56.945
14/06/10,46.555,50.82,68.5075,56.9825
15/06/10,46.6075,51.1,68.7275,57.1975
16/06/10,46.6125,50.9925,69.045,57.3075
17/06/10,46.4025,50.9,68.785,57.46
18/06/10,46.2325,51.085,68.5525,57.225
21/06/10,45.7675,50.235,67.955,56.78
22/06/10,46.28,51.11,68.1325,56.7675
23/06/10,46.2225,51.2875,68.935,56.7875
