x	y	showSelected1
11.61	15	1
11.62	14	1
11.63	3	1
11.64	2	1
11.65	9	1
11.66	7	1
11.67	1	1
11.68	13	1
11.69	5	1
11.7	11	1
11.71	6	1
11.73	2	1
11.74	2	1
11.75	7	1
11.76	5	1
11.77	11	1
11.78	5	1
11.54	2	2
11.55	12	2
11.56	7	2
11.57	7	2
11.58	5	2
11.59	6	2
11.6	8	2
11.61	7	2
11.62	3	2
11.63	11	2
11.64	5	2
11.65	22	2
11.66	15	2
11.67	7	2
11.68	10	2
11.69	16	2
11.7	24	2
11.71	3	2
11.72	3	2
11.73	6	2
11.74	1	2
11.56	1	3
11.57	3	3
11.58	8	3
11.59	4	3
11.6	8	3
11.61	12	3
11.62	5	3
11.63	1	3
11.64	5	3
11.65	24	3
11.66	31	3
11.67	10	3
11.68	6	3
11.69	4	3
11.7	17	3
11.71	24	3
11.72	10	3
11.73	6	3
11.55	1	4
11.56	3	4
11.57	10	4
11.58	44	4
11.59	26	4
11.6	58	4
11.61	21	4
11.62	14	4
11.63	1	4
11.6	2	5
11.61	7	5
11.62	22	5
11.63	37	5
11.64	21	5
11.65	16	5
11.66	27	5
11.67	40	5
11.68	7	5
11.69	1	5
11.6	6	6
11.61	26	6
11.64	14	6
11.65	13	6
11.66	10	6
11.67	6	6
11.68	17	6
11.69	32	6
11.7	32	6
11.71	21	6
11.72	4	6
11.63	2	7
11.64	7	7
11.65	6	7
11.66	6	7
11.67	6	7
11.68	9	7
11.69	16	7
11.7	51	7
11.71	44	7
11.72	22	7
11.73	10	7
11.74	2	7
11.64	5	8
11.65	22	8
11.66	25	8
11.67	22	8
11.68	18	8
11.69	15	8
11.7	29	8
11.71	2	8
11.72	1	8
11.73	6	8
11.74	12	8
11.75	18	8
11.76	6	8
11.61	6	9
11.62	32	9
11.63	14	9
11.64	7	9
11.65	1	9
11.55	3	10
11.56	32	10
11.57	30	10
11.58	20	10
11.59	23	10
11.6	13	10
11.44	2	11
11.45	15	11
11.46	5	11
11.47	6	11
11.48	5	11
11.49	4	11
11.5	7	11
11.51	6	11
11.52	15	11
11.53	25	11
11.54	30	11
11.55	40	11
11.56	19	11
11.57	1	11
11.45	3	12
11.46	6	12
11.47	4	12
11.48	4	12
11.49	8	12
11.5	28	12
11.51	27	12
11.52	39	12
11.53	25	12
11.54	21	12
11.55	9	12
11.56	5	12
11.57	2	12
11.5	2	13
11.51	3	13
11.52	11	13
11.53	23	13
11.54	51	13
11.55	36	13
11.56	15	13
11.57	7	13
11.58	4	13
11.59	9	13
11.6	20	13
11.3	2	14
11.31	5	14
11.32	7	14
11.33	7	14
11.35	13	14
11.36	21	14
11.37	19	14
11.38	14	14
11.39	3	14
11.4	2	14
11.42	1	14
11.43	2	14
11.44	3	14
11.45	7	14
11.46	5	14
11.47	9	14
11.48	33	14
11.49	16	14
11.5	9	14
11.51	1	14
11.17	5	15
11.18	5	15
11.19	2	15
11.2	8	15
11.21	7	15
11.22	4	15
11.23	2	15
11.24	2	15
11.25	4	15
11.26	5	15
11.27	2	15
11.28	4	15
11.29	14	15
11.3	31	15
11.31	18	15
11.32	16	15
11.33	12	15
11.35	3	15
11.36	13	15
11.37	12	15
11.38	10	15
11.39	2	15
11.15	1	16
11.16	8	16
11.17	6	16
11.18	4	16
11.19	3	16
11.2	4	16
11.21	2	16
11.22	3	16
11.23	1	16
11.25	10	16
11.26	18	16
11.27	18	16
11.28	21	16
11.29	20	16
11.3	16	16
11.31	5	16
11.32	9	16
11.33	7	16
11.34	12	16
11.35	11	16
11.25	2	17
11.26	44	17
11.27	48	17
11.28	6	17
11.29	8	17
11.3	20	17
11.31	29	17
11.32	13	17
11.33	10	17
11.34	1	17
11.26	3	18
11.27	23	18
