x	y	label	showSelected1	group
11.465	60	2009-11-27 21:25:03 - 2009-11-27 21:40:03	1	-1
11.465	60	2009-11-27 21:40:03 - 2009-11-27 21:55:03	2	-1
11.465	60	2009-11-27 21:55:03 - 2009-11-27 22:10:03	3	-1
11.465	60	2009-11-27 22:10:03 - 2009-11-27 22:25:03	4	-1
11.465	60	2009-11-27 22:25:03 - 2009-11-27 22:40:03	5	-1
11.465	60	2009-11-27 22:40:03 - 2009-11-27 22:55:03	6	-1
11.465	60	2009-11-27 22:55:03 - 2009-11-27 23:10:03	7	-1
11.465	60	2009-11-27 23:10:03 - 2009-11-27 23:25:03	8	-1
11.465	60	2009-11-27 23:25:03 - 2009-11-27 23:40:03	9	-1
11.465	60	2009-11-28 00:55:03 - 2009-11-28 01:10:03	10	-1
11.465	60	2009-11-28 01:10:03 - 2009-11-28 01:25:03	11	-1
11.465	60	2009-11-28 01:25:03 - 2009-11-28 01:40:03	12	-1
11.465	60	2009-11-28 01:40:03 - 2009-11-28 01:55:03	13	-1
11.465	60	2009-11-28 01:55:03 - 2009-11-28 02:10:03	14	-1
11.465	60	2009-11-28 02:10:03 - 2009-11-28 02:25:03	15	-1
11.465	60	2009-11-28 02:25:03 - 2009-11-28 02:40:03	16	-1
11.465	60	2009-11-28 02:40:03 - 2009-11-28 02:55:03	17	-1
11.465	60	2009-11-28 02:55:03 - 2009-11-28 03:10:03	18	-1
